a,alfa_fisher,b,consanguinidad,departamento_id,departamento_nombre,ins,n,provincia_nombre,s
0.11546852933705867,1430.965124702916,0.09178634233864212,0.0003678978550293436,2007,COMUNA   1,0.0013451735243370305,245176.675,Capital Federal,34564.032
0.15633578694508565,1757.003374540279,0.050889772666273016,9.192651667061287e-05,2014,COMUNA   2,0.0002935490776362059,218033.816,Capital Federal,60493.9536
0.12581737708649016,575.3422283798984,0.08291735792102631,0.0001577035293506888,2021,COMUNA   3,0.0013937791464708994,133640.3868,Capital Federal,33070.7616
0.1630317118296067,1038.932956004786,0.04322887570226304,0.0002682111231426914,2028,COMUNA   4,0.001800325987533101,135515.8896,Capital Federal,56044.7546
0.11302617388207764,775.8724295774888,0.03713561072391514,0.00014300022242112552,2035,COMUNA   5,0.000505339131864128,232204.2096,Capital Federal,60061.716
0.22615042192361826,1739.8030161316724,0.03497171565440763,0.00023538207843238192,2042,COMUNA   6,0.0004965706990903477,95539.923,Capital Federal,25841.088
0.19313486045011594,1512.5432244820336,0.0360359813817269,0.00014636049827654335,2049,COMUNA   7,0.0005194766981082947,127793.2914,Capital Federal,31905.213600000003
0.12655389175200726,1053.6982171029765,0.06288646568313021,0.0004863656089397327,2056,COMUNA   8,0.0021185841484458305,91091.1228,Capital Federal,36799.265999999996
0.0751248501035648,1441.257761643178,0.0788751294560122,0.00016057585683781182,2063,COMUNA   9,0.0013003841851739538,98833.5712,Capital Federal,22705.094999999998
0.10027319677989185,813.3192846301794,0.03575230248520072,0.00029086824137899183,2070,COMUNA  10,0.0012727971161666319,101449.51199999999,Capital Federal,26014.435199999996
0.11044430792362406,1868.6734643795485,0.03796362098635641,0.00011770820541567018,2077,COMUNA  11,0.0008962734431272584,211330.43560000003,Capital Federal,55384.805
0.10626228473051093,827.4878570010289,0.04611208589328243,0.00024033615516819926,2084,COMUNA  12,0.0005714034302734329,267038.1216,Capital Federal,27588.5864
0.2031437092557892,1412.931838855631,0.03733633145950448,7.955734091960373e-05,2091,COMUNA  13,0.0006889769720161761,261177.53399999999,Capital Federal,77880.74399999999
0.09839106734657992,2651.787390475618,0.06338181723133368,0.00010333030505543443,2098,COMUNA  14,0.0006977793569144786,138455.702,Capital Federal,75955.7344
0.13412451049647703,948.1518445857448,0.06338531761125903,0.00022418086429275264,2105,COMUNA  15,0.0004745327687429407,246337.0371,Capital Federal,61642.4212
0.06076667138609657,566.8517278200743,0.04421761291236018,0.00026922869334261107,6007,ADOLFO ALSINA,0.001881468552810912,8263.710000000001,Buenos Aires,2111.571
0.1522683668903803,679.8652830436899,0.03860069351230425,0.000335252447337207,6021,ALBERTI,0.0010613949822080085,5736.798000000001,Buenos Aires,1439.775
0.06306126884920384,335.1368798425781,0.11847900585844248,0.0003500808387758172,6028,ALMIRANTE BROWN,0.002788400967506039,284054.0664,Buenos Aires,58714.752
0.04903938793892518,378.1471653601514,0.12027988082604905,0.0005670792211169047,6035,AVELLANEDA,0.002331842152406944,413251.047,Buenos Aires,51137.729999999996
0.04223351835273054,405.4173293790137,0.05290759176365264,0.0007023262928502216,6042,AYACUCHO,0.002415066966919553,10187.04,Buenos Aires,1964.6100000000001
0.03809690104803658,1238.783824615806,0.043612979095715654,0.0002130176748811199,6049,AZUL,0.0006787056654220964,37468.635,Buenos Aires,9458.0325
0.05083403292956637,741.8148837290331,0.07195839772474173,0.00018970322392642005,6056,BAHIA BLANCA,0.001255966172202505,158011.14239999998,Buenos Aires,21621.4908
0.09330023685715064,426.79546883519913,0.04497232310582342,0.0006795336787232571,6063,BALCARCE,0.0025003123695581083,47243.4122,Buenos Aires,6822.800499999999
0.05520021450185774,434.98978709317595,0.09374221473168116,0.00033899140709805695,6070,BARADERO,0.001285898328183473,14332.743,Buenos Aires,3505.977
0.09899845890410959,700.2082065867418,0.05126541095890411,0.0006282662547536183,6077,ARRECIFES,0.002763885058465472,34666.24,Buenos Aires,6026.8104
0.07304598661557139,552.5246821385911,0.05012326376137872,0.00040291702288905033,6091,BERAZATEGUI,0.0027941419630784147,299976.04799999995,Buenos Aires,33208.45
0.12012380177371972,816.3335079808263,0.060851137194322995,0.0005042766050584181,6098,BERISSO,0.0009874450725339246,46844.1883,Buenos Aires,15839.985
0.09771982439766326,285.8181402399501,0.04703349580006222,0.0008367589957698961,6105,BOLIVAR,0.0016035567218204779,40784.1042,Buenos Aires,3696.174
0.04905848003931431,838.1560581390663,0.0903575463244009,0.000468308015182149,6112,BRAGADO,0.0020804709851666753,42231.1344,Buenos Aires,7013.094
0.07879795685593849,328.223839819619,0.05294710637242748,0.0006350982918076873,6119,BRANDSEN,0.0022039422864516766,13502.483999999999,Buenos Aires,5095.126
0.04951537468982631,346.3780437682465,0.06556976958525346,0.0007083246308884309,6126,CAMPANA,0.0015877380506483945,106852.4275,Buenos Aires,15906.66
0.11958326277011054,371.0347670319616,0.10371551107934239,0.0005663792686627062,6134,CAÑUELAS,0.0012947375358994808,52822.322799999994,Buenos Aires,5380.848
0.0761338747300216,699.2886070907215,0.11625885097192225,0.0007131521591274859,6140,CAPITAN SARMIENTO,0.0026035713745924086,14219.8875,Buenos Aires,3371.94
0.05845086647961709,868.266177608944,0.08455454695494308,0.0005227738356110813,6147,CARLOS CASARES,0.00236149560224316,26792.898,Buenos Aires,1935.0269999999998
0.05558215384615385,431.650123278354,0.12595271794871793,0.0009731295726495727,6154,CARLOS TEJEDOR,0.004733752615384616,14426.1,Buenos Aires,1420.4448
0.05884517152157582,558.9036912684402,0.09479041816208997,0.000449771586638642,6161,CARMEN DE ARECO,0.0034977531022622336,7715.764000000001,Buenos Aires,1920.0860000000002
0.06094048171426161,484.33681651214454,0.059286582022187534,0.0003991329038170542,6602,PATAGONES,0.0009530095261474432,30119.7435,Buenos Aires,2925.3987
0.07223047511948272,200.61672672657883,0.0598513353949958,0.0009892247931573273,6168,CASTELLI,0.0018807983070835864,5170.455199999999,Buenos Aires,1982.2
0.05636345300524404,842.0691837146942,0.08940730133118192,0.0006376694520885481,6175,COLON,0.002588369034459854,25436.5232,Buenos Aires,1847.5379999999998
0.10905507631055078,550.9944954058082,0.1125190592051906,0.000772932948606569,6189,CORONEL DORREGO,0.0028401735644335876,11596.365000000002,Buenos Aires,3907.8702000000003
0.1115810756166599,837.5747466245479,0.04295361908613021,0.00033631099926926134,6196,CORONEL PRINGLES,0.0009964770348718853,11751.695999999998,Buenos Aires,2162.524
0.058983765420302786,706.116065465789,0.06151617300464998,0.0003115119606504083,6182,CORONEL ROSALES,0.0012388898125734304,56912.014800000004,Buenos Aires,6693.0552
0.0422448193654869,454.99061855280604,0.043325313283208024,0.00022420154579112667,6203,CORONEL SUAREZ,0.000920718983904457,49306.026000000005,Buenos Aires,6871.525500000001
0.0692153241850737,485.09492826185,0.07752634800795796,0.00019576803315646734,6210,CHACABUCO,0.0019151220634871806,22582.656,Buenos Aires,3144.3776000000003
0.07004389915966386,454.0852106199719,0.08884332100840338,0.0002805487318692182,6217,CHASCOMUS,0.0019911177436621706,17707.2,Buenos Aires,7387.4580000000005
0.035915,690.763962200994,0.07047899629629628,0.00016081528000685868,6224,CHIVILCOY,0.0013672302141975307,75340.8,Buenos Aires,5918.0212
0.11830387865655471,190.50581065927156,0.08189671361502347,0.0005417917419044181,6231,DAIREAUX,0.0044644779970579185,9996.09,Buenos Aires,1955.1342
0.0753423378474697,394.84039095087894,0.059843063970064156,0.0006012065772408074,6238,DOLORES,0.0011428596727737985,17327.6112,Buenos Aires,1943.955
0.126280990729659,381.26265453384974,0.09861894232914781,0.0005199124478697169,6245,ENSENADA,0.0009526660838158554,59526.1275,Buenos Aires,6751.08
0.08950648854961832,608.7430107863182,0.11206521453013953,0.0003369811667078125,6252,ESCOBAR,0.0029860857008476966,226010.108,Buenos Aires,26934.6742
0.08025547093079835,606.2951104013925,0.10817677844305243,0.0007013911092214925,6260,ESTEBAN ECHEVERRIA,0.002818553161130812,161659.548,Buenos Aires,17092.5755
0.2117197584279791,683.3653455520468,0.049007166035694966,0.0006609204036168106,6266,EXALTACION DE LA CRUZ,0.00283102913045311,16652.094,Buenos Aires,6805.677
0.03700904796578783,195.32239314930604,0.05956342225195622,0.0009984742243605515,6274,FLORENCIO VARELA,0.0023046896607287416,169254.2032,Buenos Aires,37062.0287
0.1583852774421415,661.5260497429152,0.1093768937633609,0.0003107348532682654,6280,GENERAL ALVARADO,0.0014574833453266077,41830.992,Buenos Aires,9062.778999999999
0.0714949419258149,182.38323340558114,0.06843087298613713,0.0005106267076255823,6287,GENERAL ALVEAR,0.004666988209969706,11651.7864,Buenos Aires,2235.6
0.12656855428738661,781.5211171872207,0.09454382499268364,0.000277370086658926,6294,GENERAL ARENALES,0.0011246787075485218,9608.604,Buenos Aires,3929.4072
0.14178068205023484,306.1839294645686,0.12710611939282554,0.0009056130100782681,6301,GENERAL BELGRANO,0.0036224520403130723,8197.577999999998,Buenos Aires,4172.9124
0.20513245033112582,241.73329655172415,0.04523841059602649,0.0009240299048013244,6308,GENERAL GUIDO,0.002425869205298014,3272.4719999999998,Buenos Aires,525.2175
0.07163934426229508,501.04781489311955,0.056892404371584694,0.000865752403475768,6322,GENERAL LAMADRID,0.003430645038072202,6794.79,Buenos Aires,1292.706
0.07599773817683346,637.8023248034983,0.04898132282385195,0.0007907034207744138,6329,LAS HERAS,0.0032772682047591917,17429.797599999998,Buenos Aires,3262.16
0.2592991128785561,305.22960168014924,0.07039216885897827,0.0008707522420401111,6336,GENERAL LAVALLE,0.004907455213238634,4757.0488000000005,Buenos Aires,608.4
0.04869471852864422,562.9126381096368,0.048145942587299616,0.00040517397293819154,6315,GENERAL MADARIAGA,0.0016650985189240746,10284.066,Buenos Aires,3499.772
0.06402307611987053,557.3605168679368,0.06642163516758902,0.0007301991936691717,6343,GENERAL PAZ,0.00182693350028106,14110.7518,Buenos Aires,1537.9246
0.055731462140992165,310.3919171752011,0.052808257180156665,0.0007632340821113603,6351,GENERAL PINTO,0.0036688796227809244,12524.1,Buenos Aires,2339.4624
0.0865378132118451,1174.6102209232233,0.08788535624789831,0.00023054939858019568,6357,GENERAL PUEYRREDON,0.0009204212093014527,720904.0256,Buenos Aires,50249.025
0.06821611113887362,628.2727697296166,0.12185718188329751,0.00041074516107240906,6364,GENERAL RODRIGUEZ,0.0016060030748017878,77922.834,Buenos Aires,8673.5484
0.06056240956744681,539.1549116561399,0.10739422247042699,0.00027018728170820523,6371,GENERAL SAN MARTIN,0.001092625490863951,398667.27999999997,Buenos Aires,67443.09
0.09235993832146266,402.3128985961561,0.09694478302371687,0.0002897804181939144,6760,SAN MIGUEL,0.002583875395562404,266673.639,Buenos Aires,33820.0464
0.09697243190022972,355.9739537753689,0.03838424680013128,0.00038757189546249963,6385,GENERAL VIAMONTE,0.0012524568027281586,21587.995,Buenos Aires,3679.1040000000003
0.08355797678701443,652.4269352003628,0.04411137093665682,0.0006053468728704634,6392,GENERAL VILLEGAS,0.0023567096896877854,14639.823,Buenos Aires,5108.544000000001
0.09727096204766106,464.5882355011251,0.06674986760812006,0.0009661854104330048,6014,GONZALES CHAVES,0.0040078802210554276,5689.9259999999995,Buenos Aires,2907.6715
0.08026590260906308,567.8070523399432,0.051473687546213155,0.0008284319436708588,6399,GUAMINI,0.0030154116489820074,14181.565999999999,Buenos Aires,1518.8096
0.11363991421887185,307.39790400449107,0.18034052508448145,0.0006187461674989859,6406,HIPOLITO YRIGOYEN,0.005397619431965153,9805.2336,Buenos Aires,1844.6288
0.08859344674733437,263.2431149966939,0.06237529052354139,0.00033693188899209733,6084,JUAREZ,0.0013112137804794433,22745.575,Buenos Aires,2648.0818
0.08495056818181819,1278.2404593502893,0.04042774001699235,0.0003851429802575889,6413,JUNIN,0.0008226988218903006,43434.1248,Buenos Aires,16925.193
0.048941543423519474,582.1234203823782,0.10327396549559056,0.0003693198769751956,6427,MATANZA,0.002919355759443079,517460.81999999995,Buenos Aires,108566.656
0.053010127563395515,801.4643030905683,0.06740611610518357,0.0005596171885266317,6434,LANUS,0.002033104648225194,291947.26159999997,Buenos Aires,61412.255999999994
0.071016552107144,759.4332537914099,0.08644930861852482,0.0002054176443040616,6441,LA PLATA,0.0015956332883111193,375365.9728,Buenos Aires,41374.5969
