a,alfa_fisher,b,consanguinidad,departamento_id,departamento_nombre,ins,n,provincia_nombre,s,departamento_id_detalle
0.11546852933705867,1431,0.09178634233864212,0.0003678978550293436,2007,COMUNA   1,0.0013451735243370305,245177,Capital Federal,34564,002007
0.15633578694508565,1757,0.050889772666273016,9.192651667061287e-05,2014,COMUNA   2,0.0002935490776362059,218034,Capital Federal,60494,002014
0.12581737708649016,575,0.08291735792102631,0.0001577035293506888,2021,COMUNA   3,0.0013937791464708994,133640,Capital Federal,33071,002021
0.1630317118296067,1039,0.04322887570226304,0.0002682111231426914,2028,COMUNA   4,0.001800325987533101,135516,Capital Federal,56045,002028
0.11302617388207764,776,0.03713561072391514,0.00014300022242112552,2035,COMUNA   5,0.000505339131864128,232204,Capital Federal,60062,002035
0.22615042192361826,1740,0.03497171565440763,0.00023538207843238192,2042,COMUNA   6,0.0004965706990903477,95540,Capital Federal,25841,002042
0.19313486045011594,1513,0.0360359813817269,0.00014636049827654335,2049,COMUNA   7,0.0005194766981082947,127793,Capital Federal,31905,002049
0.12655389175200726,1054,0.06288646568313021,0.0004863656089397327,2056,COMUNA   8,0.0021185841484458305,91091,Capital Federal,36799,002056
0.0751248501035648,1441,0.0788751294560122,0.00016057585683781182,2063,COMUNA   9,0.0013003841851739538,98834,Capital Federal,22705,002063
0.10027319677989185,813,0.03575230248520072,0.00029086824137899183,2070,COMUNA  10,0.0012727971161666319,101450,Capital Federal,26014,002070
0.11044430792362406,1869,0.03796362098635641,0.00011770820541567018,2077,COMUNA  11,0.0008962734431272584,211330,Capital Federal,55385,002077
0.10626228473051093,827,0.04611208589328243,0.00024033615516819926,2084,COMUNA  12,0.0005714034302734329,267038,Capital Federal,27589,002084
0.2031437092557892,1413,0.03733633145950448,7.955734091960373e-05,2091,COMUNA  13,0.0006889769720161761,261178,Capital Federal,77881,002091
0.09839106734657992,2652,0.06338181723133368,0.00010333030505543443,2098,COMUNA  14,0.0006977793569144786,138456,Capital Federal,75956,002098
0.13412451049647703,948,0.06338531761125903,0.00022418086429275264,2105,COMUNA  15,0.0004745327687429407,246337,Capital Federal,61642,002105
0.06076667138609657,567,0.04421761291236018,0.00026922869334261107,6007,ADOLFO ALSINA,0.001881468552810912,8264,Buenos Aires,2112,006007
0.1522683668903803,680,0.03860069351230425,0.000335252447337207,6021,ALBERTI,0.0010613949822080085,5737,Buenos Aires,1440,006021
0.06306126884920384,335,0.11847900585844248,0.0003500808387758172,6028,ALMIRANTE BROWN,0.002788400967506039,284054,Buenos Aires,58715,006028
0.04903938793892518,378,0.12027988082604905,0.0005670792211169047,6035,AVELLANEDA,0.002331842152406944,413251,Buenos Aires,51138,006035
0.04223351835273054,405,0.05290759176365264,0.0007023262928502216,6042,AYACUCHO,0.002415066966919553,10187,Buenos Aires,1965,006042
0.03809690104803658,1239,0.043612979095715654,0.0002130176748811199,6049,AZUL,0.0006787056654220964,37469,Buenos Aires,9458,006049
0.05083403292956637,742,0.07195839772474173,0.00018970322392642005,6056,BAHIA BLANCA,0.001255966172202505,158011,Buenos Aires,21621,006056
0.09330023685715064,427,0.04497232310582342,0.0006795336787232571,6063,BALCARCE,0.0025003123695581083,47243,Buenos Aires,6823,006063
0.05520021450185774,435,0.09374221473168116,0.00033899140709805695,6070,BARADERO,0.001285898328183473,14333,Buenos Aires,3506,006070
0.09899845890410959,700,0.05126541095890411,0.0006282662547536183,6077,ARRECIFES,0.002763885058465472,34666,Buenos Aires,6027,006077
0.07304598661557139,553,0.05012326376137872,0.00040291702288905033,6091,BERAZATEGUI,0.0027941419630784147,299976,Buenos Aires,33208,006091
0.12012380177371972,816,0.060851137194322995,0.0005042766050584181,6098,BERISSO,0.0009874450725339246,46844,Buenos Aires,15840,006098
0.09771982439766326,286,0.04703349580006222,0.0008367589957698961,6105,BOLIVAR,0.0016035567218204779,40784,Buenos Aires,3696,006105
