departamento_id,provincia_codigo,top_7_surnames,top_7_origin
014014,14,"{'GONZALEZ': 9426, 'RODRIGUEZ': 9086, 'LOPEZ': 7356, 'DIAZ': 8447, 'GOMEZ': 7623, 'MARTINEZ': 6752, 'SANCHEZ': 8511}","{'ESPAÑOL': 390269, 'ITALIANO': 85585, 'VASCO': 60899, 'FRANCES': 5299, 'ARABE': 4137, 'ALEMAN': 4129, 'BRITÁNICO': 2978}"
014007,14,"{'MARTINEZ': 572, 'LOPEZ': 590, 'GONZALEZ': 400, 'TORRES': 407, 'FERNANDEZ': 342, 'RODRIGUEZ': 420, 'BUSTOS': 366}","{'ESPAÑOL': 14383, 'ITALIANO': 2417, 'VASCO': 2271, 'ALEMAN': 305, 'GERMANICO': 171, 'FRANCES': 134, 'PORTUGUES': 91}"
014021,14,"{'GONZALEZ': 1781, 'RODRIGUEZ': 1558, 'DIAZ': 1443, 'LOPEZ': 1036, 'ROMERO': 1417, 'GOMEZ': 1172, 'MARTINEZ': 1249}","{'ESPAÑOL': 52975, 'ITALIANO': 10459, 'VASCO': 10223, 'ALEMAN': 783, 'FRANCES': 754, 'ARABE': 462, 'NOA': 359}"
014028,14,"{'GONZALEZ': 1272, 'ROMERO': 774, 'DIAZ': 837, 'NIETO': 682.8804, 'FARIAS': 450, 'RODRIGUEZ': 417, 'SANCHEZ': 566}","{'ESPAÑOL': 15583, 'VASCO': 3099, 'ITALIANO': 830, 'NOA': 170, 'ARABE': 166, 'FRANCES': 140, 'SUR': 89}"
014035,14,"{'GONZALEZ': 242, 'RODRIGUEZ': 202, 'GOMEZ': 199, 'DIAZ': 193, 'FERNANDEZ': 216, 'SOSA': 186, 'TORRES': 178}","{'ESPAÑOL': 8723, 'ITALIANO': 3745, 'VASCO': 1480, 'FRANCES': 123, 'IBERICO': 57, 'ALEMAN': 53, 'ARABE': 41}"
014042,14,"{'RODRIGUEZ': 992, 'GONZALEZ': 837, 'LOPEZ': 834, 'FERNANDEZ': 786, 'PEREZ': 620, 'FERREYRA': 508, 'SANCHEZ': 528}","{'ESPAÑOL': 28480, 'ITALIANO': 12630, 'VASCO': 5903, 'FRANCES': 510, 'ALEMAN': 393, 'IBERICO': 268, 'GERMANICO': 216}"
014049,14,"{'RODRIGUEZ': 522, 'QUINTEROS': 403, 'LOPEZ': 399, 'DIAZ': 355, 'MARTINEZ': 223, 'HEREDIA': 234, 'MOYANO': 282}","{'ESPAÑOL': 6814, 'VASCO': 2370, 'ITALIANO': 754, 'NOA': 78, 'FRANCES': 71, 'ESTE EUROPEO': 54, 'BRITÁNICO': 52}"
014056,14,"{'LOPEZ': 409, 'RODRIGUEZ': 403, 'GONZALEZ': 290, 'FERNANDEZ': 271, 'MARTINEZ': 316, 'PEREYRA': 331, 'DIAZ': 245}","{'ESPAÑOL': 9917, 'ITALIANO': 6366, 'VASCO': 2203, 'ALEMAN': 296, 'FRANCES': 267, 'GERMANICO': 100, 'BRITÁNICO': 89}"
014063,14,"{'RODRIGUEZ': 733, 'GONZALEZ': 673, 'DIAZ': 544, 'GOMEZ': 456, 'FERNANDEZ': 437, 'LOPEZ': 392, 'PEREYRA': 304}","{'ESPAÑOL': 19706, 'ITALIANO': 13881, 'VASCO': 4233, 'FRANCES': 606, 'ALEMAN': 271, 'ARABE': 261, 'IBERICO': 212}"
014070,14,"{'ROMERO': 143, 'MALDONADO': 137, 'GONZALEZ': 140, 'DIAZ': 79, 'VELEZ': 149.1048, 'CAMPOS': 70, 'RODRIGUEZ': 74}","{'ESPAÑOL': 1819, 'VASCO': 299, 'PORTUGUES': 47, 'CHINO': 43, 'ITALIANO': 43, 'ARMENIO': 34, 'TIERRAS BAJAS': 18}"
014077,14,"{'OVIEDO': 82, 'GONZALEZ': 108, 'PEREYRA': 99, 'CUELLO': 75.24000000000001, 'GUZMAN': 76, 'ALTAMIRANO': 63, 'GOMEZ': 50}","{'ESPAÑOL': 1735, 'VASCO': 341, 'ARMENIO': 50, 'ITALIANO': 47, 'ANDINO': 41, 'TIERRAS BAJAS': 39, 'HOLANDES': 34}"
014091,14,"{'GONZALEZ': 1792, 'LOPEZ': 1321, 'GOMEZ': 1234, 'RODRIGUEZ': 1080, 'SANCHEZ': 1148, 'DIAZ': 1212, 'PEREZ': 795}","{'ESPAÑOL': 38198, 'ITALIANO': 8510, 'VASCO': 7723, 'ALEMAN': 756, 'FRANCES': 671, 'ARABE': 390, 'IBERICO': 349}"
014098,14,"{'GONZALEZ': 2119, 'RODRIGUEZ': 2000, 'FERNANDEZ': 1653, 'LOPEZ': 1786, 'SOSA': 1582, 'TORRES': 1273, 'GOMEZ': 1096}","{'ESPAÑOL': 59201, 'ITALIANO': 28213, 'VASCO': 9963, 'FRANCES': 1072, 'ALEMAN': 800, 'IBERICO': 533, 'BRITÁNICO': 423}"
014105,14,"{'GONZALEZ': 402, 'SANCHEZ': 402, 'LUDUEÑA': 653.0735, 'DIAZ': 420, 'GUTIERREZ': 266, 'PERALTA': 263, 'GOMEZ': 296}","{'ESPAÑOL': 9849, 'ITALIANO': 3062, 'VASCO': 2446, 'FRANCES': 128, 'ALEMAN': 117, 'ARABE': 59, 'IBERICO': 46}"
014112,14,"{'PERALTA': 189, 'CABRAL': 159, 'DIAZ': 131, 'VILLARREAL': 258.221, 'BELEN': 126.4632, 'VIVAS': 120.916, 'CORDOBA': 112}","{'ESPAÑOL': 4040, 'VASCO': 1310, 'ITALIANO': 161, 'JAPONES': 37, 'AFRICANO': 34, 'ESCANDINAVO': 31, 'FRANCES': 31}"
014119,14,"{'RODRIGUEZ': 840, 'GOMEZ': 838, 'PERALTA': 628, 'GONZALEZ': 577, 'FERREYRA': 573, 'FERNANDEZ': 494, 'DIAZ': 453}","{'ESPAÑOL': 20743, 'ITALIANO': 10876, 'VASCO': 5566, 'FRANCES': 362, 'ALEMAN': 193, 'IBERICO': 179, 'BRITÁNICO': 132}"
014084,14,"{'RODRIGUEZ': 339, 'LOPEZ': 246, 'GONZALEZ': 237, 'PEREZ': 222, 'FERNANDEZ': 236, 'SOSA': 161, 'GOMEZ': 185}","{'ESPAÑOL': 6612, 'ITALIANO': 4064, 'VASCO': 1234, 'ALEMAN': 141, 'FRANCES': 141, 'IBERICO': 101, 'ARABE': 100}"
014126,14,"{'LOPEZ': 907, 'PEREYRA': 478, 'ROMERO': 390, 'OVIEDO': 334, 'ALTAMIRANO': 451, 'GONZALEZ': 423, 'GOMEZ': 313}","{'ESPAÑOL': 13904, 'VASCO': 2199, 'ITALIANO': 839, 'FRANCES': 135, 'ARABE': 50, 'ALEMAN': 50, 'COREANO': 48}"
014133,14,"{'PEREYRA': 551, 'OVIEDO': 742, 'GONZALEZ': 619, 'ROMERO': 447, 'LOPEZ': 480, 'ALTAMIRANO': 453, 'GOMEZ': 455}","{'ESPAÑOL': 16243, 'VASCO': 3293, 'ITALIANO': 1294, 'FRANCES': 143, 'ALEMAN': 102, 'ARABE': 91, 'ESTE EUROPEO': 58}"
014140,14,"{'GONZALEZ': 873, 'FERREYRA': 1141, 'JUAREZ': 891, 'PERALTA': 814, 'PEREZ': 912, 'DIAZ': 870, 'GOMEZ': 730}","{'ESPAÑOL': 36401, 'ITALIANO': 25257, 'VASCO': 9195, 'ALEMAN': 1480, 'FRANCES': 713, 'GERMANICO': 436, 'BRITÁNICO': 325}"
014147,14,"{'LOPEZ': 984, 'MARTINEZ': 746, 'RODRIGUEZ': 983, 'GONZALEZ': 629, 'SANCHEZ': 699, 'DIAZ': 528, 'GOMEZ': 548}","{'ESPAÑOL': 24634, 'VASCO': 6000, 'ITALIANO': 5592, 'FRANCES': 358, 'ALEMAN': 299, 'ARABE': 226, 'NOA': 147}"
014154,14,"{'CORDOBA': 68, 'HERRERA': 82, 'SUAREZ': 61, 'VIVAS': 61.88, 'CAMINOS': 64.1424, 'ORONA': 110.24, 'GOMEZ': 52}","{'ESPAÑOL': 1524, 'VASCO': 309, 'ITALIANO': 62, 'COREANO': 45, 'AFRICANO': 45, 'JAPONES': 32, 'HEBREO': 29}"
014161,14,"{'RODRIGUEZ': 1063, 'FERREYRA': 948, 'LOPEZ': 719, 'GONZALEZ': 746, 'PEREYRA': 844, 'GOMEZ': 741, 'FERNANDEZ': 719}","{'ESPAÑOL': 31206, 'ITALIANO': 11867, 'VASCO': 4094, 'FRANCES': 339, 'ALEMAN': 202, 'ARABE': 192, 'IBERICO': 192}"
014168,14,"{'MOYANO': 277, 'PERALTA': 137, 'DIAZ': 151, 'ROLDAN': 145, 'GONZALEZ': 130, 'GOMEZ': 98, 'RODRIGUEZ': 104}","{'ESPAÑOL': 6739, 'ITALIANO': 1169, 'VASCO': 842, 'FRANCES': 40, 'TAILANDIA': 37, 'COREANO': 36, 'ALEMAN': 33}"
014175,14,"{'BUSTOS': 224, 'SUAREZ': 176, 'CASAS': 130.6032, 'LOPEZ': 139, 'DIAZ': 142, 'RODRIGUEZ': 132, 'QUINTEROS': 108}","{'ESPAÑOL': 4531, 'VASCO': 846, 'ITALIANO': 238, 'ARMENIO': 38, 'COREANO': 38, 'HINDU': 33, 'SUIZOS': 28}"
